scenario,year,new_adopters_millions,cumulative_millions
low,2025,0.0054131324469091765,0.0054131324469091765
low,2026,0.005726428635825418,0.011139561082734594
low,2027,0.005982318419223494,0.01712187950195809
low,2028,0.006166696030294099,0.02328857553225219
low,2029,0.006268037924413348,0.029556613456665538
low,2030,0.006278748199069229,0.03583536165573477
low,2031,0.006196188888866105,0.04203155054460087
low,2032,0.0060231810969193205,0.048054731641520194
low,2033,0.005767848542392078,0.05382258018391227
low,2034,0.005442804842818002,0.059265385026730275
low,2035,0.005063822878862471,0.06432920790559274
base,2025,0.01353283111727294,0.01353283111727294
base,2026,0.014316071589563543,0.027848902706836483
base,2027,0.014955796048058733,0.04280469875489522
base,2028,0.015416740075735246,0.05822143883063047
base,2029,0.015670094811033368,0.07389153364166384
base,2030,0.01569687049767307,0.08958840413933691
base,2031,0.015490472222165262,0.10507887636150218
base,2032,0.0150579527422983,0.12013682910380048
base,2033,0.014419621355980195,0.13455645045978068
base,2034,0.013607012107045005,0.1481634625668257
base,2035,0.012659557197156175,0.16082301976398186
high,2025,0.02706566223454588,0.02706566223454588
high,2026,0.028632143179127087,0.05569780541367297
high,2027,0.029911592096117465,0.08560939750979044
high,2028,0.030833480151470492,0.11644287766126094
high,2029,0.031340189622066736,0.14778306728332768
high,2030,0.03139374099534614,0.17917680827867383
high,2031,0.030980944444330524,0.21015775272300435
high,2032,0.0301159054845966,0.24027365820760097
high,2033,0.02883924271196039,0.26911290091956136
high,2034,0.02721402421409001,0.2963269251336514
high,2035,0.02531911439431235,0.3216460395279637
